question,topic,confidence,btc_direction
Will the price of Solana be above $226 on September 9 at 4PM ET?,Solana price target,0.627,1
Will the price of Solana be above $228 on September 9 at 4PM ET?,Solana price target,0.622,1
Will the price of XRP be above $2.94 on September 9 at 4PM ET?,other,0.428,0
Will the price of XRP be above $3.00 on September 9 at 4PM ET?,other,0.405,0
"Will the price of Ethereum be between $4,250 and $4,275 on September 9 at 4PM ET?",Ethereum price target,0.746,1
"Will the price of Ethereum be between $4,275 and $4,300 on September 9 at 4PM ET?",Ethereum price target,0.753,1
"Will the price of Ethereum be between $4,300 and $4,325 on September 9 at 4PM ET?",Ethereum price target,0.754,1
"Will the price of Ethereum be between $4,350 and $4,375 on September 9 at 4PM ET?",Ethereum price target,0.753,1
"Will the price of Ethereum be between $4,375 and $4,400 on September 9 at 4PM ET?",Ethereum price target,0.747,1
"Will the price of Ethereum be between $4,400 and $4,425 on September 9 at 4PM ET?",Ethereum price target,0.745,1
"Will the price of Ethereum be greater than $4,475 on September 9 at 4PM ET?",Ethereum price target,0.715,1
Will the price of Solana be between $208 and $210 on September 9 at 4PM ET?,Solana price target,0.621,1
Will the price of Solana be between $210 and $212 on September 9 at 4PM ET?,Solana price target,0.631,1
Will the price of Solana be between $212 and $214 on September 9 at 4PM ET?,Solana price target,0.635,1
Will the price of Solana be between $218 and $220 on September 9 at 4PM ET?,Solana price target,0.622,1
Will the price of Solana be between $220 and $222 on September 9 at 4PM ET?,Solana price target,0.618,1
Will the price of XRP be less than $2.85 on September 9 at 4PM ET?,other,0.488,0
Will the price of XRP be between $2.85 and $2.88 on September 9 at 4PM ET?,other,0.512,0
Will the price of XRP be between $2.88 and $2.91 on September 9 at 4PM ET?,other,0.506,0
Will the price of XRP be between $2.91 and $2.94 on September 9 at 4PM ET?,other,0.502,0
Will the price of XRP be between $3.00 and $3.03 on September 9 at 4PM ET?,other,0.463,0
Will the price of XRP be between $3.03 and $3.06 on September 9 at 4PM ET?,other,0.47,0
Will the price of XRP be between $3.09 and $3.12 on September 9 at 4PM ET?,other,0.486,0
Will the price of XRP be greater than $3.12 on September 9 at 4PM ET?,other,0.466,0
Bitcoin Up or Down on September 11?,Bitcoin price target,0.549,1
"Will the price of Bitcoin be less than $102,000 on September 16?",Bitcoin price target,0.637,1
"Will the price of Ethereum be above $3,800 on September 16?",Ethereum price target,0.686,1
"Will the price of Bitcoin be between $104,000 and $106,000 on September 16?",Bitcoin price target,0.728,1
"Will the price of Ethereum be above $3,900 on September 16?",Ethereum price target,0.691,1
"Will the price of Ethereum be above $4,200 on September 16?",Ethereum price target,0.697,1
"Will the price of Bitcoin be between $112,000 and $114,000 on September 16?",Bitcoin price target,0.731,1
"Will the price of Ethereum be above $4,400 on September 16?",Ethereum price target,0.699,1
"Will the price of Bitcoin be between $116,000 and $118,000 on September 16?",Bitcoin price target,0.736,1
"Will the price of Ethereum be above $4,500 on September 16?",Ethereum price target,0.703,1
"Will the price of Ethereum be above $4,700 on September 16?",Ethereum price target,0.692,1
"Will the price of Ethereum be above $4,800 on September 16?",Ethereum price target,0.689,1
Ethereum Up or Down on September 11?,Ethereum price target,0.471,1
Solana Up or Down on September 11?,other,0.59,0
"Will the price of Bitcoin be above $100,000 on September 16?",Bitcoin price target,0.664,1
"Will the price of Bitcoin be above $104,000 on September 16?",Bitcoin price target,0.67,1
"Will the price of Bitcoin be above $106,000 on September 16?",Bitcoin price target,0.672,1
"Will the price of Bitcoin be above $108,000 on September 16?",Bitcoin price target,0.674,1
"Will the price of Bitcoin be above $112,000 on September 16?",Bitcoin price target,0.667,1
"Will the price of Bitcoin be above $116,000 on September 16?",Bitcoin price target,0.672,1
"Will the price of Bitcoin be above $118,000 on September 16?",Bitcoin price target,0.672,1
"Will the price of Bitcoin be above $120,000 on September 16?",Bitcoin price target,0.669,1
Will the price of Solana be above $220 on September 16?,Solana price target,0.598,1
Will the price of Solana be above $230 on September 16?,Solana price target,0.598,1
Will the price of Solana be above $240 on September 16?,Solana price target,0.586,1
Will the price of Solana be above $250 on September 16?,Solana price target,0.589,1
Will the price of Solana be above $260 on September 16?,Solana price target,0.618,1
Will the price of XRP be above $2.40 on September 16?,other,0.407,0
Will the price of XRP be above $2.80 on September 16?,other,0.423,0
Will the price of XRP be above $2.90 on September 16?,other,0.417,0
Will the price of XRP be above $3.00 on September 16?,other,0.398,0
Will the price of XRP be above $3.10 on September 16?,other,0.409,0
Will the price of XRP be above $3.20 on September 16?,other,0.409,0
Will the price of XRP be above $3.30 on September 16?,other,0.408,0
Will the price of XRP be above $3.40 on September 16?,other,0.402,0
"Will the price of Ethereum be less than $3,800 on September 16?",Ethereum price target,0.672,1
"Will the price of Ethereum be between $3,900 and $4,000 on September 16?",Ethereum price target,0.783,1
"Will the price of Ethereum be between $4,100 and $4,200 on September 16?",Ethereum price target,0.75,1
"Will the price of Ethereum be between $4,300 and $4,400 on September 16?",Ethereum price target,0.739,1
"Will the price of Ethereum be between $4,400 and $4,500 on September 16?",Ethereum price target,0.764,1
"Will the price of Ethereum be between $4,500 and $4,600 on September 16?",Ethereum price target,0.757,1
"Will the price of Ethereum be between $4,600 and $4,700 on September 16?",Ethereum price target,0.735,1
"Will the price of Ethereum be greater than $4,700 on September 16?",Ethereum price target,0.7,1
Will the price of Solana be between $190 and $200 on September 16?,Solana price target,0.604,1
Will the price of Solana be between $200 and $210 on September 16?,Solana price target,0.612,1
Will the price of Solana be between $210 and $220 on September 16?,Solana price target,0.617,1
Will the price of Solana be between $220 and $230 on September 16?,Solana price target,0.605,1
Will the price of Solana be between $230 and $240 on September 16?,Solana price target,0.605,1
Will the price of Solana be greater than $260 on September 16?,Solana price target,0.639,1
Will the price of XRP be between $2.80 and $2.90 on September 16?,other,0.494,0
Will the price of XRP be between $2.90 and $3.00 on September 16?,other,0.464,0
Will the price of XRP be between $3.00 and $3.10 on September 16?,other,0.457,0
Will the price of XRP be greater than $3.40 on September 16?,other,0.429,0
"Will the price of Bitcoin be less than $109,000 on September 9 at 8PM ET?",Bitcoin price target,0.648,1
"Will the price of Bitcoin be between $109,000 and $109,500 on September 9 at 8PM ET?",Bitcoin price target,0.747,1
"Will the price of Bitcoin be above $109,500 on September 9 at 8PM ET?",Bitcoin price target,0.674,1
"Will the price of Bitcoin be between $110,000 and $110,500 on September 9 at 8PM ET?",Bitcoin price target,0.75,1
"Will the price of Bitcoin be between $111,000 and $111,500 on September 9 at 8PM ET?",Bitcoin price target,0.756,1
"Will the price of Bitcoin be above $112,000 on September 9 at 8PM ET?",Bitcoin price target,0.675,1
"Will the price of Bitcoin be between $112,000 and $112,500 on September 9 at 8PM ET?",Bitcoin price target,0.742,1
"Will the price of Bitcoin be above $112,500 on September 9 at 8PM ET?",Bitcoin price target,0.671,1
"Will the price of Bitcoin be above $113,000 on September 9 at 8PM ET?",Bitcoin price target,0.674,1
"Will the price of Bitcoin be between $113,000 and $113,500 on September 9 at 8PM ET?",Bitcoin price target,0.742,1
"Will the price of Ethereum be above $4,225 on September 9 at 8PM ET?",Ethereum price target,0.705,1
"Will the price of Ethereum be above $4,250 on September 9 at 8PM ET?",Ethereum price target,0.685,1
"Will the price of Ethereum be above $4,300 on September 9 at 8PM ET?",Ethereum price target,0.692,1
"Will the price of Ethereum be above $4,325 on September 9 at 8PM ET?",Ethereum price target,0.708,1
"Will the price of Ethereum be above $4,350 on September 9 at 8PM ET?",Ethereum price target,0.684,1
"Will the price of Ethereum be above $4,400 on September 9 at 8PM ET?",Ethereum price target,0.683,1
Will the price of Solana be above $208 on September 9 at 8PM ET?,Solana price target,0.595,1
Will the price of Solana be above $212 on September 9 at 8PM ET?,Solana price target,0.63,1
Will the price of Solana be above $214 on September 9 at 8PM ET?,Solana price target,0.591,1
Will the price of Solana be above $216 on September 9 at 8PM ET?,Solana price target,0.606,1
Will the price of Solana be above $220 on September 9 at 8PM ET?,Solana price target,0.593,1
Will the price of Solana be above $224 on September 9 at 8PM ET?,Solana price target,0.608,1
Will the price of XRP be above $2.88 on September 9 at 8PM ET?,other,0.424,0
Will the price of XRP be above $2.91 on September 9 at 8PM ET?,other,0.429,0
Will the price of XRP be above $3.00 on September 9 at 8PM ET?,other,0.401,0
"Will the price of Ethereum be less than $4,175 on September 9 at 8PM ET?",Ethereum price target,0.655,1
"Will the price of Ethereum be between $4,175 and $4,200 on September 9 at 8PM ET?",Ethereum price target,0.746,1
"Will the price of Ethereum be between $4,275 and $4,300 on September 9 at 8PM ET?",Ethereum price target,0.749,1
"Will the price of Ethereum be between $4,350 and $4,375 on September 9 at 8PM ET?",Ethereum price target,0.75,1
"Will the price of Ethereum be between $4,375 and $4,400 on September 9 at 8PM ET?",Ethereum price target,0.74,1
"Will the price of Ethereum be greater than $4,400 on September 9 at 8PM ET?",Ethereum price target,0.699,1
"Will Trump say ""America"" or ""American"" 30+ times during address to UN General Assembly on September 23?",other,0.178,0
"Will Trump say ""Russia"" or ""Ukraine"" 7+ times during address to UN General Assembly on September 23?",other,0.456,0
"Will Trump say ""Peace"" 10+ times during address to UN General Assembly on September 23?",other,0.415,0
"Will Trump say ""Nuclear"" 3+ times during address to UN General Assembly on September 23?",other,0.336,0
"Will Trump say ""China"" 3+ times during address to UN General Assembly on September 23?",other,0.379,0
"Will Trump say ""Biden"" 2+ times during address to UN General Assembly on September 23?",other,0.431,0
"Will Trump say ""October 7th"" during address to UN General Assembly on September 23?",other,0.306,0
"Will Trump say ""King"" during address to UN General Assembly on September 23?",other,0.245,0
"Will Trump say ""Maduro"" during address to UN General Assembly on September 23?",other,0.388,0
"Will Trump say ""Vladimir"" during address to UN General Assembly on September 23?",other,0.387,0
"Will Trump say ""Crypto"" or ""Bitcoin"" during address to UN General Assembly on September 23?",other,0.471,0
"Bitcoin Up or Down - September 10, 12AM ET",Bitcoin price target,0.678,1
"Bitcoin Up or Down - September 10, 3AM ET",Bitcoin price target,0.669,1
"Bitcoin Up or Down - September 10, 4AM ET",Bitcoin price target,0.673,1
"Bitcoin Up or Down - September 10, 5AM ET",Bitcoin price target,0.671,1
"Bitcoin Up or Down - September 10, 6AM ET",Bitcoin price target,0.667,1
"Bitcoin Up or Down - September 10, 11AM ET",Bitcoin price target,0.682,1
"Bitcoin Up or Down - September 10, 1PM ET",Bitcoin price target,0.681,1
"Bitcoin Up or Down - September 10, 2PM ET",Bitcoin price target,0.685,1
"Bitcoin Up or Down - September 10, 5PM ET",Bitcoin price target,0.677,1
"Bitcoin Up or Down - September 10, 6PM ET",Bitcoin price target,0.669,1
"Bitcoin Up or Down - September 10, 8PM ET",Bitcoin price target,0.664,1
"Bitcoin Up or Down - September 10, 9PM ET",Bitcoin price target,0.667,1
"Bitcoin Up or Down - September 10, 11PM ET",Bitcoin price target,0.674,1
"Bitcoin Up or Down - September 11, 4AM ET",Bitcoin price target,0.675,1
"Bitcoin Up or Down - September 11, 7AM ET",Bitcoin price target,0.658,1
"Bitcoin Up or Down - September 11, 8AM ET",Bitcoin price target,0.659,1
"Bitcoin Up or Down - September 11, 10AM ET",Bitcoin price target,0.659,1
"Bitcoin Up or Down - September 11, 11AM ET",Bitcoin price target,0.668,1
"Bitcoin Up or Down - September 11, 12PM ET",Bitcoin price target,0.664,1
"Bitcoin Up or Down - September 11, 2PM ET",Bitcoin price target,0.684,1
"Bitcoin Up or Down - September 11, 3PM ET",Bitcoin price target,0.681,1
"Bitcoin Up or Down - September 11, 4PM ET",Bitcoin price target,0.68,1
"Bitcoin Up or Down - September 11, 5PM ET",Bitcoin price target,0.672,1
"Bitcoin Up or Down - September 11, 8PM ET",Bitcoin price target,0.66,1
"Ethereum Up or Down - September 10, 12AM ET",Ethereum price target,0.639,1
"Ethereum Up or Down - September 10, 1AM ET",Ethereum price target,0.651,1
"Ethereum Up or Down - September 10, 2AM ET",Ethereum price target,0.651,1
"Ethereum Up or Down - September 10, 3AM ET",Ethereum price target,0.642,1
"Ethereum Up or Down - September 10, 4AM ET",Ethereum price target,0.642,1
"Ethereum Up or Down - September 10, 6AM ET",Ethereum price target,0.634,1
"Ethereum Up or Down - September 10, 9AM ET",Ethereum price target,0.64,1
"Ethereum Up or Down - September 10, 10AM ET",Ethereum price target,0.636,1
"Ethereum Up or Down - September 10, 1PM ET",Ethereum price target,0.648,1
"Ethereum Up or Down - September 10, 2PM ET",Ethereum price target,0.652,1
"Ethereum Up or Down - September 10, 3PM ET",Ethereum price target,0.646,1
"Ethereum Up or Down - September 10, 4PM ET",Ethereum price target,0.64,1
"Ethereum Up or Down - September 10, 5PM ET",Ethereum price target,0.638,1
"Ethereum Up or Down - September 10, 7PM ET",Ethereum price target,0.626,1
"Ethereum Up or Down - September 10, 8PM ET",Ethereum price target,0.625,1
"Ethereum Up or Down - September 10, 9PM ET",Ethereum price target,0.634,1
"Ethereum Up or Down - September 10, 11PM ET",Ethereum price target,0.625,1
"Ethereum Up or Down - September 11, 12AM ET",Ethereum price target,0.611,1
"Ethereum Up or Down - September 11, 3AM ET",Ethereum price target,0.631,1
"Ethereum Up or Down - September 11, 6AM ET",Ethereum price target,0.619,1
"Ethereum Up or Down - September 11, 7AM ET",Ethereum price target,0.62,1
"Ethereum Up or Down - September 11, 9AM ET",Ethereum price target,0.626,1
"Ethereum Up or Down - September 11, 10AM ET",Ethereum price target,0.614,1
"Ethereum Up or Down - September 11, 11AM ET",Ethereum price target,0.616,1
"Ethereum Up or Down - September 11, 12PM ET",Ethereum price target,0.613,1
"Ethereum Up or Down - September 11, 2PM ET",Ethereum price target,0.641,1
"Ethereum Up or Down - September 11, 4PM ET",Ethereum price target,0.633,1
"Ethereum Up or Down - September 11, 6PM ET",Ethereum price target,0.618,1
"Ethereum Up or Down - September 11, 7PM ET",Ethereum price target,0.615,1
"Ethereum Up or Down - September 11, 9PM ET",Ethereum price target,0.616,1
"Ethereum Up or Down - September 11, 10PM ET",Ethereum price target,0.605,1
"Ethereum Up or Down - September 11, 11PM ET",Ethereum price target,0.601,1
"Solana Up or Down - September 10, 12AM ET",other,0.452,0
"Solana Up or Down - September 10, 5AM ET",other,0.431,0
"Solana Up or Down - September 10, 6AM ET",other,0.426,0
"Solana Up or Down - September 10, 7AM ET",other,0.427,0
"Solana Up or Down - September 10, 8AM ET",other,0.431,0
"Solana Up or Down - September 10, 10AM ET",other,0.458,0
"Solana Up or Down - September 10, 11AM ET",other,0.469,0
"Solana Up or Down - September 10, 12PM ET",other,0.442,0
"Solana Up or Down - September 10, 1PM ET",other,0.413,0
"Solana Up or Down - September 10, 2PM ET",other,0.418,0
"Solana Up or Down - September 10, 5PM ET",other,0.454,0
"Solana Up or Down - September 10, 7PM ET",other,0.473,0
"Solana Up or Down - September 10, 9PM ET",other,0.51,0
"Solana Up or Down - September 10, 11PM ET",other,0.511,0
"Solana Up or Down - September 11, 1AM ET",other,0.475,0
"Solana Up or Down - September 11, 3AM ET",other,0.495,0
"Solana Up or Down - September 11, 6AM ET",other,0.491,0
"Solana Up or Down - September 11, 11AM ET",other,0.506,0
"Solana Up or Down - September 11, 1PM ET",other,0.45,0
"Solana Up or Down - September 11, 2PM ET",other,0.454,0
"Solana Up or Down - September 11, 3PM ET",other,0.464,0
"Solana Up or Down - September 11, 4PM ET",other,0.476,0
"Solana Up or Down - September 11, 5PM ET",other,0.495,0
"Solana Up or Down - September 11, 6PM ET",other,0.494,0
"Solana Up or Down - September 11, 7PM ET",other,0.493,0
"Solana Up or Down - September 11, 8PM ET",other,0.51,0
"Solana Up or Down - September 11, 9PM ET",other,0.522,0
"Will the price of Bitcoin be above $109,000 on September 10 at 12AM ET?",Bitcoin price target,0.69,1
"Will the price of Bitcoin be less than $109,000 on September 10 at 12AM ET?",Bitcoin price target,0.652,1
"Will the price of Bitcoin be above $109,500 on September 10 at 12AM ET?",Bitcoin price target,0.684,1
"Will the price of Bitcoin be between $109,000 and $109,500 on September 10 at 12AM ET?",Bitcoin price target,0.751,1
"Will the price of Bitcoin be above $110,500 on September 10 at 12AM ET?",Bitcoin price target,0.678,1
"Will the price of Bitcoin be above $111,000 on September 10 at 12AM ET?",Bitcoin price target,0.692,1
"Will the price of Bitcoin be above $111,500 on September 10 at 12AM ET?",Bitcoin price target,0.689,1
"Will the price of Bitcoin be between $111,000 and $111,500 on September 10 at 12AM ET?",Bitcoin price target,0.76,1
"Will the price of Bitcoin be between $111,500 and $112,000 on September 10 at 12AM ET?",Bitcoin price target,0.77,1
"Will the price of Bitcoin be above $113,000 on September 10 at 12AM ET?",Bitcoin price target,0.683,1
"Will the price of Bitcoin be above $113,500 on September 10 at 12AM ET?",Bitcoin price target,0.677,1
"Will the price of Bitcoin be between $113,000 and $113,500 on September 10 at 12AM ET?",Bitcoin price target,0.747,1
"Will the price of Bitcoin be greater than $113,500 on September 10 at 12AM ET?",Bitcoin price target,0.686,1
"Will the price of Ethereum be above $4,175 on September 10 at 12AM ET?",Ethereum price target,0.703,1
"Will the price of Ethereum be above $4,375 on September 10 at 12AM ET?",Ethereum price target,0.709,1
"Will the price of Ethereum be above $4,400 on September 10 at 12AM ET?",Ethereum price target,0.695,1
"Will the price of Ethereum be above $4,425 on September 10 at 12AM ET?",Ethereum price target,0.703,1
Will the price of Solana be above $208 on September 10 at 12AM ET?,Solana price target,0.6,1
Will the price of Solana be above $218 on September 10 at 12AM ET?,Solana price target,0.598,1
Will the price of Solana be above $222 on September 10 at 12AM ET?,Solana price target,0.612,1
Will the price of XRP be above $2.79 on September 10 at 12AM ET?,other,0.43,0
Will the price of XRP be above $2.88 on September 10 at 12AM ET?,other,0.427,0
Will the price of XRP be above $2.94 on September 10 at 12AM ET?,other,0.43,0
Will the price of XRP be above $3.00 on September 10 at 12AM ET?,other,0.408,0
Will the price of XRP be above $3.03 on September 10 at 12AM ET?,other,0.418,0
Will the price of XRP be above $3.06 on September 10 at 12AM ET?,other,0.414,0
Will the price of XRP be above $3.09 on September 10 at 12AM ET?,other,0.417,0
Will the price of Solana be less than $206 on September 10 at 12AM ET?,Solana price target,0.562,1
Will the price of Solana be between $208 and $210 on September 10 at 12AM ET?,Solana price target,0.607,1
Will the price of Solana be between $210 and $212 on September 10 at 12AM ET?,Solana price target,0.616,1
Will the price of Solana be between $216 and $218 on September 10 at 12AM ET?,Solana price target,0.62,1
Will the price of Solana be between $220 and $222 on September 10 at 12AM ET?,Solana price target,0.606,1
Will the price of Solana be greater than $224 on September 10 at 12AM ET?,Solana price target,0.638,1
Will the price of XRP be between $2.82 and $2.85 on September 10 at 12AM ET?,other,0.51,0
Will the price of XRP be between $2.88 and $2.91 on September 10 at 12AM ET?,other,0.506,0
Will the price of XRP be between $2.91 and $2.94 on September 10 at 12AM ET?,other,0.504,0
Will the price of XRP be between $2.94 and $2.97 on September 10 at 12AM ET?,other,0.497,0
Will the price of XRP be between $2.97 and $3.00 on September 10 at 12AM ET?,other,0.469,0
Will the price of XRP be between $3.00 and $3.03 on September 10 at 12AM ET?,other,0.464,0
Will the price of XRP be between $3.03 and $3.06 on September 10 at 12AM ET?,other,0.471,0
Will the price of XRP be between $3.06 and $3.09 on September 10 at 12AM ET?,other,0.478,0
Will the price of XRP be greater than $3.09 on September 10 at 12AM ET?,other,0.461,0
"Will Trump say ""America"" or ""American"" 20+ times during 9-11 memorial event?",other,0.279,0
"Will Trump say ""Jet Fuel"" during 9-11 memorial event?",other,0.415,0
"Will Trump say ""Manhattan"" during 9-11 memorial event?",other,0.479,0
"Will Trump say ""Vietnam"" or ""Korea"" during 9-11 memorial event?",other,0.665,0
"Will Trump say ""Maduro"" or ""Venezuela"" during 9-11 memorial event?",other,0.549,0
"Will Trump say ""Bitcoin"" or ""Crypto"" during 9-11 memorial event?",other,0.469,0
"Will the price of Bitcoin be less than $109,000 on September 10 at 4AM ET?",Bitcoin price target,0.663,1
"Will the price of Bitcoin be above $109,000 on September 10 at 4AM ET?",Bitcoin price target,0.694,1
"Will the price of Bitcoin be above $109,500 on September 10 at 4AM ET?",Bitcoin price target,0.688,1
"Will the price of Bitcoin be between $110,000 and $110,500 on September 10 at 4AM ET?",Bitcoin price target,0.76,1
"Will the price of Bitcoin be between $110,500 and $111,000 on September 10 at 4AM ET?",Bitcoin price target,0.768,1
"Will the price of Bitcoin be between $111,500 and $112,000 on September 10 at 4AM ET?",Bitcoin price target,0.775,1
"Will the price of Bitcoin be above $112,000 on September 10 at 4AM ET?",Bitcoin price target,0.689,1
"Will the price of Bitcoin be between $112,000 and $112,500 on September 10 at 4AM ET?",Bitcoin price target,0.754,1
"Will the price of Bitcoin be between $112,500 and $113,000 on September 10 at 4AM ET?",Bitcoin price target,0.763,1
"Will the price of Bitcoin be above $113,000 on September 10 at 4AM ET?",Bitcoin price target,0.687,1
"Will the price of Bitcoin be greater than $113,500 on September 10 at 4AM ET?",Bitcoin price target,0.691,1
"Will the price of Ethereum be above $4,175 on September 10 at 4AM ET?",Ethereum price target,0.708,1
"Will the price of Ethereum be above $4,200 on September 10 at 4AM ET?",Ethereum price target,0.702,1
"Will the price of Ethereum be above $4,225 on September 10 at 4AM ET?",Ethereum price target,0.716,1
"Will the price of Ethereum be above $4,300 on September 10 at 4AM ET?",Ethereum price target,0.706,1
"Will the price of Ethereum be above $4,425 on September 10 at 4AM ET?",Ethereum price target,0.709,1
Will the price of Solana be above $206 on September 10 at 4AM ET?,Solana price target,0.613,1
Will the price of Solana be above $208 on September 10 at 4AM ET?,Solana price target,0.607,1
Will the price of Solana be above $216 on September 10 at 4AM ET?,Solana price target,0.616,1
Will the price of Solana be above $220 on September 10 at 4AM ET?,Solana price target,0.603,1
Will the price of XRP be above $2.79 on September 10 at 4AM ET?,other,0.429,0
Will the price of XRP be above $2.94 on September 10 at 4AM ET?,other,0.429,0
Will the price of XRP be above $2.97 on September 10 at 4AM ET?,other,0.429,0
Will the price of XRP be above $3.03 on September 10 at 4AM ET?,other,0.417,0
Will the price of XRP be above $3.06 on September 10 at 4AM ET?,other,0.413,0
Will the price of XRP be above $3.09 on September 10 at 4AM ET?,other,0.416,0
"Will the price of Ethereum be less than $4,200 on September 10 at 4AM ET?",Ethereum price target,0.667,1
"Will the price of Ethereum be between $4,200 and $4,225 on September 10 at 4AM ET?",Ethereum price target,0.747,1
"Will the price of Ethereum be between $4,250 and $4,275 on September 10 at 4AM ET?",Ethereum price target,0.75,1
"Will the price of Ethereum be between $4,275 and $4,300 on September 10 at 4AM ET?",Ethereum price target,0.755,1
"Will the price of Ethereum be between $4,300 and $4,325 on September 10 at 4AM ET?",Ethereum price target,0.755,1
"Will the price of Ethereum be between $4,350 and $4,375 on September 10 at 4AM ET?",Ethereum price target,0.757,1
"Will the price of Ethereum be between $4,375 and $4,400 on September 10 at 4AM ET?",Ethereum price target,0.758,1
"Will the price of Ethereum be between $4,400 and $4,425 on September 10 at 4AM ET?",Ethereum price target,0.749,1
"Will the price of Ethereum be greater than $4,425 on September 10 at 4AM ET?",Ethereum price target,0.713,1
Will the price of Solana be between $212 and $214 on September 10 at 4AM ET?,Solana price target,0.628,1
Will the price of Solana be between $214 and $216 on September 10 at 4AM ET?,Solana price target,0.617,1
Will the price of Solana be between $218 and $220 on September 10 at 4AM ET?,Solana price target,0.615,1
Will the price of Solana be between $220 and $222 on September 10 at 4AM ET?,Solana price target,0.614,1
Will the price of Solana be between $222 and $224 on September 10 at 4AM ET?,Solana price target,0.636,1
Will the price of Solana be greater than $226 on September 10 at 4AM ET?,Solana price target,0.651,1
Will the price of XRP be less than $2.82 on September 10 at 4AM ET?,other,0.491,0
Will the price of XRP be between $2.82 and $2.85 on September 10 at 4AM ET?,other,0.51,0
Will the price of XRP be between $2.85 and $2.88 on September 10 at 4AM ET?,other,0.511,0
Will the price of XRP be between $2.91 and $2.94 on September 10 at 4AM ET?,other,0.504,0
Will the price of XRP be between $3.00 and $3.03 on September 10 at 4AM ET?,other,0.465,0
Will the price of XRP be between $3.06 and $3.09 on September 10 at 4AM ET?,other,0.479,0
"Will the price of Bitcoin be above $112,000 on September 10 at 8AM ET?",Bitcoin price target,0.682,1
"Will the price of Bitcoin be above $113,000 on September 10 at 8AM ET?",Bitcoin price target,0.68,1
"Will the price of Ethereum be above $4,225 on September 10 at 8AM ET?",Ethereum price target,0.709,1
"Will the price of Ethereum be above $4,250 on September 10 at 8AM ET?",Ethereum price target,0.688,1
"Will the price of Ethereum be above $4,325 on September 10 at 8AM ET?",Ethereum price target,0.711,1
Will the price of Solana be above $216 on September 10 at 8AM ET?,Solana price target,0.619,1
Will the price of Solana be above $222 on September 10 at 8AM ET?,Solana price target,0.623,1
Will the price of XRP be above $3.03 on September 10 at 8AM ET?,other,0.419,0
"Will the price of Ethereum be between $4,350 and $4,375 on September 10 at 8AM ET?",Ethereum price target,0.758,1
Will the price of Solana be between $210 and $212 on September 10 at 8AM ET?,Solana price target,0.63,1
Will the price of XRP be between $2.82 and $2.85 on September 10 at 8AM ET?,other,0.52,0
Will the price of XRP be between $2.85 and $2.88 on September 10 at 8AM ET?,other,0.522,0
Will the price of XRP be between $3.06 and $3.09 on September 10 at 8AM ET?,other,0.487,0
"Will the price of Bitcoin be above $110,000 on September 10 at 12PM ET?",Bitcoin price target,0.68,1
"Will the price of Bitcoin be above $110,500 on September 10 at 12PM ET?",Bitcoin price target,0.677,1
"Will the price of Bitcoin be above $111,000 on September 10 at 12PM ET?",Bitcoin price target,0.688,1
"Will the price of Bitcoin be above $111,500 on September 10 at 12PM ET?",Bitcoin price target,0.688,1
"Will the price of Bitcoin be above $112,000 on September 10 at 12PM ET?",Bitcoin price target,0.679,1
"Will the price of Bitcoin be above $112,500 on September 10 at 12PM ET?",Bitcoin price target,0.677,1
"Will the price of Bitcoin be above $113,000 on September 10 at 12PM ET?",Bitcoin price target,0.678,1
"Will the price of Bitcoin be above $114,000 on September 10 at 12PM ET?",Bitcoin price target,0.678,1
"Will the price of Bitcoin be above $115,000 on September 10 at 12PM ET?",Bitcoin price target,0.676,1
"Will the price of Bitcoin be between $111,000 and $111,500 on September 10 at 12PM ET?",Bitcoin price target,0.756,1
"Will the price of Bitcoin be between $111,500 and $112,000 on September 10 at 12PM ET?",Bitcoin price target,0.765,1
"Will the price of Bitcoin be between $114,000 and $114,500 on September 10 at 12PM ET?",Bitcoin price target,0.741,1
"Will the price of Ethereum be above $4,200 on September 10 at 12PM ET?",Ethereum price target,0.683,1
"Will the price of Ethereum be above $4,250 on September 10 at 12PM ET?",Ethereum price target,0.691,1
"Will the price of Ethereum be above $4,275 on September 10 at 12PM ET?",Ethereum price target,0.705,1
"Will the price of Ethereum be above $4,300 on September 10 at 12PM ET?",Ethereum price target,0.695,1
"Will the price of Ethereum be above $4,400 on September 10 at 12PM ET?",Ethereum price target,0.685,1
"Will the price of Ethereum be above $4,425 on September 10 at 12PM ET?",Ethereum price target,0.701,1
Will the price of Solana be above $210 on September 10 at 12PM ET?,Solana price target,0.624,1
Will the price of Solana be above $212 on September 10 at 12PM ET?,Solana price target,0.646,1
Will the price of Solana be above $216 on September 10 at 12PM ET?,Solana price target,0.621,1
Will the price of Solana be above $220 on September 10 at 12PM ET?,Solana price target,0.611,1
Will the price of Solana be above $224 on September 10 at 12PM ET?,Solana price target,0.625,1
Will the price of Solana be above $226 on September 10 at 12PM ET?,Solana price target,0.626,1
Will the price of Solana be above $228 on September 10 at 12PM ET?,Solana price target,0.62,1
Will the price of XRP be above $2.94 on September 10 at 12PM ET?,other,0.432,0
Will the price of XRP be above $2.97 on September 10 at 12PM ET?,other,0.431,0
Will the price of XRP be above $3.00 on September 10 at 12PM ET?,other,0.41,0
Will the price of XRP be above $3.03 on September 10 at 12PM ET?,other,0.42,0
Will the price of XRP be above $3.06 on September 10 at 12PM ET?,other,0.416,0
Will the price of XRP be above $3.09 on September 10 at 12PM ET?,other,0.419,0
